k1	k2	k3	k4	k5	k6	k7	k8	k9	k10	k11	k12	k13	k14	k15	k16	k17	k18	k19	k20												
0.526581427	0.004710633	0.097913863	-0.896485623	0.275083302	0.402777778	0.836926287	0.725286931	2.724617524	0.169390627	1.038200643	0.986404834	0.269159571	1.011126565	10.09722222	9.986111111	5.886639676	0.027166437	0.013883747	0												
2.76426799	0.098014888	0.998759305	0.633752244	0.115489325	0.015804598	0.006273526	0.883077805	7.732747804	0.468953904	0.944971414	1.002276793	2.084109471	18.24968632	20.89798851	1.145114943	20.77857143	0.011687865	0.02392893	0.00600357												
0.791120081	0.026236125	0.095862765	-0.243622449	0.291470588	0.225352113	0.4368	0.713235294	3.88	0.29969419	1.106557377	1.052974381	1.469117647	7.992	70.35211268	8.802816901	46.25	0.013613614	-0.002647059	-0.035876289												
1.163335895	0.017294389	0.138355111	0.06970598	0.517687819	0.293838863	0	0.4865062	6.009009009	1.231990232	1.371575342	1.007172518	1.022428884	12.62837838	13.28672986	1.052132701	34.61111111	0.09702158	0.085339168	0.110569715												
1.36802974	0.107806691	1.018587361	0.285326087	0.165946946	0.240816327	0	0.837754473	10.05925926	0.293695132	1.28132206	0.991964938	1.028377545	12.34814815	6.804081633	0.551020408	47.62857143	0.039592082	0.027760642	0.022827688												
1.226368159	0.033996683	0.346600332	0.150777552	0.178742599	0.372943327	0.054744526	0.822948971	7.102189781	0.263401603	1.265567496	1.020629371	1.211869185	10.45863747	15.7166362	1.50274223	18.97792494	0.138885658	0.094727939	0.038711888												
1.469670711	0.554592721	0.745233969	-0.067806604	0.545973558	0.05	0	0.455829327	1.321428571	1.039215686	2.465446513	1.03478854	2.34765625	6.805749129	35.51363636	5.218181818	20	0.051836682	0.109375	0.224785761												
0.502570694	0.033419023	0.237789203	-1.680306905	0.520864016	0.031446541	0.177777778	0.485517919	1.292810458	0.237545565	1.663555992	1.174584323	1.662739323	4.42745098	21.30188679	4.811320755	52.921875	0.010924122	0.037309769	0.062689585												
1.383164006	0.178519594	0.428640542	-0.36726128	0.38556338	0.357833656	0.010810811	0.617664319	11.37837838	0.388187373	1.119145838	0.939592323	0.451095462	8.30990991	8.920696325	1.073500967	13.93353474	-0.066999133	0.011443662	0												
0.642998028	0.009861933	0.122287968	-0.239263804	0.321700508	0.473684211	0.265129683	0.743654822	3.377521614	0.2608	1.117721519	1.080184332	1.120558376	5.089337176	30.98245614	6.087719298	7.954954955	0.016987542	0.046954315	0.024744027												
0.962034134	0.055120167	0.543974225	-0.209449674	0.572701414	0.0320627	0	0.441060822	1.318824265	0.859231607	1.550963606	1.322961104	3.076884464	9.200250156	13.10224439	1.424118276	110.2788606	0.05824134	0.179745671	0.289169196												
0.660145544	0.008033267	0.439750496	-0.941445956	0.333038652	0.025899673	0	0.666985904	10.62221353	0.207042713	1.221203366	0.991711699	0.716222189	11.40633555	7.951472192	0.697110142	56.4139265	0.013268875	0.004051864	0.000110452												
1.090415279	0.038724374	0.521289644	0.059456854	0.409749947	0.560684312	0.597393919	0.590039924	2.814567324	0.772659548	1.433028829	1.32244898	0.846046088	4.035750084	3.898967076	0.966107166	8.134006734	0.044540111	0.01232752	0.012345679												
0.978634464	0.028216442	0.427078495	0.00450878	0.510273199	0.429525827	0.472533849	0.526416798	1.803868472	0.907407407	1.133876053	0.94998472	1.360126439	4.66073501	3.926348379	0.842431155	21.24867725	0.028718459	0.044761797	0.038708986												
1.079356513	0.022498908	0.640428649	0.072926835	0.145737946	0.283072145	0.174024548	0.854819466	8.252321647	0.185678351	1.172445301	1.04005108	0.901828459	8.706140667	6.504480883	0.74711415	1511.7125	0.153158256	0.053764112	0.021523034												
